user_id,daily_screen_time_hours,social_media_hours,study_work_hours,sleep_hours,tasks_completed,gaming_hours,segment,is_anomaly
105,5.37,5.37,5.52,7.59,9.24,5.37,2,False
106,5.01,5.31,4.91,6.86,8.44,5.25,2,False
107,5.15,4.94,5.07,7.04,8.7,4.98,2,False
108,5.27,4.63,5.74,7.94,9.29,4.76,2,False
109,4.55,4.45,5.23,7.52,8.22,4.47,2,False
110,5.36,5.28,5.3,7.28,9.07,5.3,2,False
111,4.99,4.6,5.02,7.03,8.51,4.68,2,False
112,4.7,5.44,4.86,6.93,8.1,5.29,2,False
113,4.63,4.86,5.02,7.19,8.15,4.81,2,False
114,4.75,4.63,5.0,7.11,8.25,4.65,2,False
115,5.11,4.77,4.88,6.79,8.53,4.84,2,False
116,8.09,7.42,2.73,4.0,9.93,7.56,3,False
117,7.71,7.91,3.1,4.0,9.82,7.87,3,False
118,8.59,8.34,3.23,4.0,10.78,8.39,3,False
119,7.99,7.6,3.09,4.0,10.09,7.68,3,False
120,7.88,8.13,2.83,4.0,9.8,8.08,3,False
121,8.21,8.61,3.13,4.0,10.33,8.53,3,False
122,8.16,8.28,3.04,4.0,10.21,8.25,3,False
123,8.09,8.01,3.15,4.0,10.23,8.02,3,False
124,7.69,8.01,3.15,4.0,9.83,7.95,3,False
125,8.58,8.38,3.88,4.0,11.23,8.42,3,False
126,7.69,8.35,3.06,4.0,9.77,8.22,3,False
127,8.88,7.68,3.13,4.0,10.98,7.92,3,False
128,7.76,7.15,2.88,4.0,9.71,7.27,3,False
129,7.7,8.06,3.1,4.0,9.8,7.99,3,False
130,8.75,8.38,3.16,4.0,10.89,8.45,3,False
131,7.64,8.2,2.62,4.0,9.4,8.09,3,False
132,8.73,8.47,3.19,4.0,10.89,8.52,3,False
133,7.31,8.54,2.86,4.0,9.25,8.3,3,False
134,8.5,7.36,3.08,4.0,10.57,7.59,3,False
135,8.0,8.02,2.97,4.0,10.01,8.02,3,False
136,8.25,7.57,3.13,4.0,10.37,7.71,3,False
137,8.05,8.21,3.31,4.0,10.3,8.17,3,False
138,7.55,7.39,3.32,4.0,9.82,7.42,3,False
139,8.13,7.7,3.57,4.0,10.57,7.79,3,False
140,8.05,8.47,3.13,4.0,10.17,8.39,3,False
141,8.82,8.7,3.28,4.0,11.04,8.73,3,False
142,8.39,8.26,3.6,4.0,10.84,8.28,3,False
143,7.61,8.27,3.28,4.0,9.85,8.14,3,False
144,7.3,7.53,2.32,4.0,8.85,7.48,3,False
145,7.89,8.29,3.49,4.0,10.27,8.21,3,False
146,8.03,8.65,2.72,4.0,9.86,8.53,3,False
147,7.32,7.98,3.0,4.0,9.36,7.85,3,False
148,7.99,7.17,3.07,4.0,10.07,7.34,3,False
149,7.48,8.27,3.05,4.0,9.55,8.11,3,False
150,7.62,7.79,2.69,4.0,9.44,7.76,3,False
151,7.97,8.38,2.82,4.0,9.87,8.3,3,False
152,8.2,7.79,2.94,4.0,10.18,7.87,3,False
153,7.96,7.59,2.93,4.0,9.94,7.66,3,False
154,7.52,8.79,2.97,4.0,9.53,8.53,3,False
155,7.72,8.09,2.98,4.0,9.74,8.01,3,False
156,7.91,8.25,3.29,4.0,10.15,8.18,3,False
157,7.79,7.77,2.96,4.0,9.79,7.77,3,False
158,7.08,7.39,3.21,4.0,9.27,7.33,3,False
159,8.66,7.9,3.46,4.0,11.0,8.05,3,False
160,8.12,9.23,3.45,4.0,10.47,9.01,3,False
161,7.95,7.62,2.63,4.0,9.72,7.68,3,False
162,8.08,7.7,2.73,4.0,9.91,7.77,3,False
163,7.74,7.57,3.49,4.0,10.13,7.6,3,False
164,8.35,8.0,3.62,4.0,10.82,8.07,3,False
165,8.03,7.66,3.54,4.0,10.44,7.73,3,False
166,8.22,7.59,3.11,4.0,10.32,7.71,3,False
167,7.65,7.45,3.25,4.0,9.86,7.49,3,False
168,8.76,7.44,3.49,4.0,11.13,7.71,3,False
169,7.74,7.81,2.86,4.0,9.67,7.79,3,False
170,7.65,8.02,2.76,4.0,9.52,7.95,3,False
171,8.11,7.98,3.07,4.0,10.18,8.01,3,False
172,7.64,7.77,3.2,4.0,9.82,7.74,3,False
173,8.2,7.61,3.19,4.0,10.36,7.73,3,False
174,8.3,7.33,3.34,4.0,10.57,7.53,3,False
175,7.73,8.23,2.81,4.0,9.63,8.13,3,False
176,1.19,1.27,5.97,10.02,5.44,1.25,4,False
177,2.12,1.59,6.44,10.29,6.68,1.7,4,False
178,1.25,1.97,5.59,9.46,5.23,1.83,4,False
179,1.71,2.02,5.84,9.61,5.85,1.96,4,False
180,1.83,2.45,5.97,9.74,6.06,2.33,4,False
181,2.38,1.49,6.48,10.24,6.97,1.67,4,False
182,2.65,1.0,6.14,9.64,7.0,1.24,4,False
183,2.26,1.91,6.39,10.17,6.8,1.98,4,False
184,1.73,2.04,6.07,9.93,6.04,1.98,4,False
185,2.53,2.11,6.46,10.15,7.11,2.2,4,False
186,1.81,1.78,6.01,9.81,6.08,1.79,4,False
187,2.18,1.81,6.34,10.13,6.68,1.88,4,False
188,2.93,2.39,6.38,9.85,7.45,2.5,4,False
189,2.54,1.82,5.72,9.08,6.59,1.96,4,False
190,1.55,1.16,5.95,9.84,5.78,1.24,4,False
191,2.01,2.75,6.31,10.15,6.48,2.61,4,False
192,1.9,2.37,5.47,9.0,5.78,2.28,4,False
193,2.11,2.35,5.77,9.33,6.19,2.3,4,False
194,2.51,2.15,6.22,9.81,6.92,2.22,4,False
195,2.28,3.02,6.34,10.08,6.78,2.87,4,False
196,2.11,1.79,5.97,9.62,6.34,1.86,4,False
197,2.37,1.61,6.33,10.03,6.86,1.77,4,False
198,1.79,2.22,6.24,10.15,6.22,2.13,4,False
199,2.47,1.77,6.26,9.88,6.9,1.91,4,False
200,1.56,1.8,6.19,10.17,5.96,1.75,4,False
201,2.34,1.59,6.58,10.39,7.0,1.74,4,False
202,2.61,2.19,6.97,10.84,7.55,2.27,4,False
203,1.65,1.44,5.54,9.2,5.58,1.48,4,False
204,2.67,2.29,6.38,9.97,7.2,2.37,4,False
205,2.13,1.49,7.01,11.0,7.1,1.62,4,False
206,2.06,2.05,6.45,10.33,6.63,2.05,4,False
207,2.22,2.1,6.02,9.64,6.48,2.12,4,False
208,2.21,2.85,6.69,10.61,6.96,2.72,4,False
209,2.72,1.77,6.1,9.55,7.04,1.96,4,False
210,1.94,2.03,6.53,10.49,6.58,2.01,4,False
211,1.24,2.69,5.92,9.93,5.45,2.4,4,False
212,1.81,1.54,5.62,9.26,5.8,1.6,4,False
213,2.37,2.03,5.9,9.42,6.55,2.1,4,False
214,1.42,1.85,6.55,10.75,6.08,1.76,4,False
215,1.88,1.32,6.09,9.89,6.2,1.44,4,False
216,1.88,1.0,6.15,9.98,6.24,1.0,4,False
217,1.9,2.31,6.75,10.83,6.69,2.23,4,False
218,2.51,1.88,6.0,9.5,6.76,2.0,4,False
219,3.16,2.03,6.55,10.01,7.79,2.25,4,False
220,1.99,2.09,6.15,9.94,6.35,2.07,4,False
221,1.74,1.75,6.11,9.99,6.08,1.75,4,False
222,1.76,1.68,6.16,10.05,6.13,1.69,4,False
223,1.89,2.68,5.33,8.81,5.67,2.52,4,False
224,2.49,2.56,5.69,9.07,6.52,2.55,4,False
225,1.85,1.83,5.71,9.37,5.9,1.84,4,False
226,1.65,1.5,6.65,10.79,6.37,1.53,4,False
227,2.42,2.57,6.55,10.32,7.07,2.54,4,False
228,1.49,1.76,6.2,10.22,5.9,1.71,4,False
229,1.45,2.32,5.96,9.89,5.69,2.15,4,False
230,1.83,2.32,6.29,10.2,6.3,2.22,4,False
231,1.84,2.52,5.81,9.51,5.96,2.38,4,False
232,2.28,2.27,6.19,9.86,6.66,2.27,4,False
233,2.15,1.44,6.54,10.42,6.78,1.58,4,False
234,1.92,1.76,6.51,10.47,6.54,1.8,4,False
235,1.68,1.37,5.61,9.3,5.67,1.43,4,False
236,12.0,0.5,1.0,1.0,30.0,0.5,-1,True
237,0.5,12.0,12.0,12.0,1.0,12.0,-1,True
238,5.0,5.0,25.0,1.0,1.0,25.0,-1,True
